year,background,cnt,country,female,age,diffgrade,fisced,misced,momwork,dadwork,hisei,homepos,pcgirls,private,metropolis,scoremath,pv1math,pv2math,pv3math,pv4math,pv5math,stweight,ggi,parliament90,parliament97,flp_90,gdppc,hdi,lgdppc,obs,norigin,stratum2003,hostregion,stratum2006,stratum2009,stratum2012
2012,Bolivia,ARG,Argentina,1,15.58,0,4,4,1,1,39.73,-0.4,0.568,0,1,366.10843,348.3487,395.8638,361.5906,361.5906,363.1485,28.1667,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,16.08,0,5,5,1,1,22.57,-1.86,0.545,0,1,201.90842,239.4532,160.0016,179.475,216.0851,214.5272,52.4061,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.33,0,6,1,1,1,39.04,-1.22,0.552,1,1,448.67581,436.5244,439.6401,486.3764,440.4191,440.4191,20.1399,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,16.08,0,4,1,0,1,22.57,-1.06,0.571,0,1,421.56879,429.0466,414.2468,415.8046,425.9308,422.8151,23.3251,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,16,1,2,0,0,,,-1.54,0.539,0,0,428.42343,442.6001,441.8212,430.1371,409.8847,417.6741,26.2618,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,15.75,0,4,0,0,1,33,-0.826099992,0.545455039,1,0,486.37799,501.4899902,508.5,493.7000122,491.3599854,436.8399963,265.8817139,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,1,16.08,0,4,0,1,1,21.24,-0.23,0.556,0,1,253.55196,268.196,249.5015,219.1229,287.6694,243.27,26.9827,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.25,1,4,2,,1,22.57,-2.11,0.46,0,1,310.6481,282.9179,294.602,346.7908,331.991,296.9388,28.2366,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,15.82999992,0,5,6,0,1,23,-2.654299974,0.635204017,0,0,399.60199,365.9500122,381.5299988,437.6099854,415.0299988,397.8900146,97.29589844,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,0,15.58,0,0,0,0,1,22.57,-0.9,0.127,0,1,378.80511,399.0575,402.1732,363.2264,377.2472,352.3212,20.6682,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,16.07999992,1,0,0,0,1,36,-1.299100041,0.48743698,0,0,322.48801,330.5899963,285.4100037,350.0599976,325.1400146,321.2399902,68.02310181,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3204,,3204,
2012,Bolivia,ARG,Argentina,0,16,1,1,1,1,1,30.34,-0.23,0.127,0,1,342.19504,363.8495,291.4083,363.8495,334.2499,357.618,25.1405,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.33,0,4,0,1,1,59.89,-0.05,0.419,1,1,435.66757,419.4656,417.1288,450.6232,428.034,463.0862,13.5611,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,16.08,0,2,4,0,1,28.84,-0.9,0.571,0,1,401.4722,400.5375,384.9587,385.7377,418.453,417.6741,23.2037,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,0,15.58,0,5,0,1,0,24.53,-1.71,0.592,0,0,355.3591,383.4008,346.7908,369.38,348.3487,328.8752,225.1019,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,,ARG0001
2012,Bolivia,ARG,Argentina,0,15.42,0,0,0,1,1,21.24,0.5,0.112,0,1,359.40958,356.917,340.5593,380.2851,359.2538,360.0327,24.4368,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,16.08,0,1,2,0,1,30.78,-1.06,0.631,1,0,389.39865,376.6241,396.0975,358.7085,404.6658,410.8973,250.2932,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,,ARG0001
2012,Bolivia,ARG,Argentina,0,16.08,1,4,0,0,1,79.74,-1.54,0.556,0,1,320.54059,304.806,264.3013,372.5736,341.4161,319.6059,32.1044,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
